index;noi_dung_binh_luan;noi_dung_binh_luan_dung_chinh_ta
36;mới vào hsk mua mà về thấy kiểu bị tách nước sao á, loại này chỉ thời tiết lạnh dùng ổn cho da dầu mụn như mình, xài mấy típ, cũng quây về vs nó dưỡng da ổn;Mới vào HCM mua mà về thấy kiểu bị tách nước sao á, loại này
38;bông tốt , đường viền chắn chắn, không bi xơ hay tưa bông,bông mềm mịn .;bông tốt , đường viền chắn chắn, không bi xơ hay tưa
39;dạng sữa thắm hơi lâu và rất rất rất là cay luôn ,tuy đã rửa mặt nhưng vẫn còn rất cay, ngày nào xài cũng bị vậy;Dạng sữa tắm hơi lâu và rất rất rất là cay luôn , tuy
41;mình đã dùng thử và cực cực cực kì hài lòng với sản phẩm chống nắng tốt, nâng tông và không gây khó chịu cho làn da mình là da khô hơi nhạy cảm dễ lên mụn nhưng thấy sử dụng rất tốt;Mình đã dùng thử và cực cực cực kì hài lòng với sản phẩm chống nắng tốt
42;mình đã sử dụng liên tục sản phẩm này trong vòng hơn 1 tháng gần qua 2 tháng rồi thì mình quan sát kĩ thấy nền da mình có cải thiện rõ rệt về chân nám mờ dần đi hẳn luôn. texture lỏng nhẹ, thoa là thấm cực kì nhanh, nhẹ da nữa, cho nên mình cực kì thích luôn. packaging thủy tinh, nặng tay, thông tin đầy đủ, khá chi tiết nên đây là điểm cộng. đánh giá: 9/10, 1 điểm trừ ở việc khá hao hị hị, đối với các bạn yêu thích dưỡng trắng và có tình trạng thâm nám nhẹ thì dùng thường xuyên sẽ hết hẳn luôn;Mình đã sử dụng liên tục sản phẩm này trong vòng hơn 1 tháng, gần qua
43;mình rất thích hasaki và sản phẩm tẩy trang này;Mình rất thích yuki và sản phẩm tẩy trang này.
46;sản phẩm bao bì đẹp, thấm nhanh, mình tông da khó trắng dùng gần 1 lọ lên tông hẳn luôn, đều màu hơn rõ, kèm theo dễ thoa dễ dùng, cấp ẩm tốt;Sản phẩm bao bì đẹp, thấm nhanh, mình tông da khó trắng dùng gần 1
47;tẩy trang tốt, nhưng quà tặng không có kèm theo, để chưng z thôi;Tẩy trang tốt, nhưng quà tặng không có kèm theo, để chưng
48;đây là lọ kem dưỡng ẩm mà tui xài hết cả hủ....kem thấm đã ghê;Đây là lọ kem dưỡng ẩm mà tui xài hết cả chủ
49;mình da khô, tuy nhiên dùng vichy dưỡng ẫm serum bình thường nhưng vẫn rất dễ tán hơn rất nhiều so vs laroch bản cũ. kem nâng tông chắc tầm nửa tông thôi. mình da khô bôi thấy da vẫn hơi ẩm k bị khô căng như martiderm;Mình da khô, tuy nhiên dùng vaseline dưỡng ẩm, serum bình
51;mình thấy có số công bố bộ y tế trên sản phẩm nhưng click vào thì không có, cái này hasaki có thể gửi mình tham khảo về sản phẩm chính hãng được không ạ?;mình thấy có số công bố bộ y tế trên sản phẩm nhưng click vào thì không
53;lần truóc dùng ổn lắm mà lần này mùi cồn nồng nặc lun á;Lần trước dùng ổn lắm mà lần này mùi cồn nồng nặc
54;hợp với dầu nhưng mắc quá;hợp với dầu nhưng mắc quá.
55;bản thân tui có da dầu nhạy cảm rất dễ nổi mụn nên mình rất kén trong việc lựa chọn mỹ phẩm, đặc biệt là các sản phẩm làm sạch. sữa rửa mặt cerave foaming có bảng thành phần lành tính, độ ph lý tưởng, khả năng làm sạch nhẹ nhàng mà vẫn rất hiệu quả, do đó, mình đã thử sử dụng và cảm thấy rất thích. sản phẩm này đã trở thành item không thể thiếu trong quy trình chăm sóc da của mình”. thấy đi đâu bác sĩ cũng khuyên dùng.;Bản thân tui có da dầu nhạy cảm rất dễ nổi mụn nên mình rât kén
56;mua lần thứ 2 em chống nắng này rồi ,giá bình dân ,dễ tán nâng toner nhẹ thôi nhưng tự nhiên rất đáng mua nha;Mua lần thứ 2 em chống nắng này rồi , giá bình dân , dễ
57;e này thì ok khỏi bàn, thích nhất dịch vụ của giao hàng của hasaki, dù dịch như giao hàng ở tỉnh khá nhanh.;e này thì ok khỏi bàn, thích nhất dịch vụ của giao hàng củaki
58;em này dùng cực thích dịu nhẹ. nhưng chỉ hợp với tẩy trang mỏng nhẹ. nhưng bạn nào make up dày và lì thì nhớ tẩy trang thật kĩ nha;Em này dùng cực thích, dịu nhẹ. nhưng chỉ hợp với tẩy trang mỏng nhẹ
59;sản phẩm cho da dầu thôi, dầu mụn nên cân nhắc vì trong các bước chăm sóc có sd thuốc đặc trị mụn nên khi bôi kem cấp ẩm này lâu thấm cực kì, nếu có dùng thì chỉ dùng được buổi tối và bôi 1 lớp thật mỏng thôi. tóm lại là da dầu mụn nên cân nhắc;Sản phẩm cho da dầu thôi, dầu mụn nên cân nhắc vì trong các bước chăm
60;sản phẩm tốt nhưng k có quà tặng. làm mình tưởng có nên k mua btt.;sản phẩm tốt nhưng k có quà tặng. làm mình tưởng có nên k mua b
61;loại dành cho da thường đến da dầu nhưng rửa mặt xong sau khoảng 1h thì da mình vẫn lên dầu, nhiều hơn so với lúc trước dùng cetaphil. nhưng chai gần 500ml mà sử dụng trong tận 1 năm hơn là rất tiết kiệm và hợp lý luôn, trong khi cetaphil có dung tích tương đương thì mình dùng trong khoảng 6 tháng.;Loại dành cho da thường đến da dầu nhưng rửa mặt xong sau khoảng 1h thì
62;tẩy trang sạch, có lớp dầu giữ ẩm cho da, không bị khô da.;tẩy trang sạch, có lớp dầu giữ ẩm cho da, không bị khô
63;dùng thấy hợp vs da mik, vs tạo bọt siêu thích, giá cũng ok;Dùng thấy hợp và da mặt, và tạo bọt siêu thích, giá cũng
64;thật sự cực thích srm này , sẽ mua xài lâu dài đã mua 2 lần rồi;Thật sự cực thích sam này , sẽ mua xài lâu dài, đã
65;mùi trái cây thơm nhẹ, tẩy da chết dịu nhẹ không làm khô da. giá cả hợp lý;Mùi trái cây thơm nhẹ, tẩy da chết dịu nhẹ, không làm khô da
66;da mình bị kích ứng với alcohol, nhưng dùng e tẩy trang này êm, tẩy trang chống nắng và lớp make up sạch và ko khô da;Da mình bị kích ứng với alcohol, nhưng dùng e tẩy trang này êm,
67;đã mua chai pro acne 5in1 này vài lần rồi, đóng gói kỹ và giao hàng nhanh, chỉ tiếc vừa rồi lỡ mất khung deal. chất lượng thì không cần phải nói nhiều, da mụn và cần giải quyết các vấn đề liên quan tới dầu nhờn, thâm, lỗ chân lông thì phải dùng ngày chai này.;đã mua chai pro acne 5in1 này vài lần rồi, đóng gói
68;bông tẩy trang này xài rất thích bông rất dai nên mua;Bông tẩy trang này xài rất thích, bông rất dai nên mua.
69;sử dụng dễ giàng, rất thoải mái,thư giản tột độ.;sử dụng dễ giàng, rất thoải mái,thư giản tột độ.
70;em vichy này dùng thích lám, mát da và cự kỳ thấm nhanh vào da cho cảm giác khô thoáng nhẹ tênh. good;Em viết này dùng thích lắm, mát da và cực kỳ thấm nhanh vào da cho
71;da mặt của mình rất nhạy cảm, nhưng thật may tìm được mask này cực hợp với da mình, mà thật tiếc là mask này hết hàng lâu quá, chờ đợi mãi vẫn chưa thấy mask này có hàng lại. mong là hasaki sẽ sớm sớm có lại mẫu mask này nhé!!!;da mặt của mình rất nhạy cảm, nhưng thật may tìm được mask này cực hợp
72;môi mình đã giảm thâm rất nhiều, khi sử dụng sản phẩm này thời gian dài . mình dùng cũng 5 năm r , và sẽ k thay đổi;Môi mình đã giảm thâm rất nhiều, khi sử dụng sản phẩm này thời gian
73;mua đi mua lại mua mãi mua hoài không thôi 9/10nha máy chế;Mua đi mua lại, mua mãi mua hoài không thôi, 9/10 nhà máy
74;nói được tặng bông tẩy trang mà khi giao hàng không có tặng gì kể cả gel rửa mặt;nói được tặng bông tẩy trang mà khi giao hàng không có tặng gì, kể cả
75;cấp ẩm ổn, những vết thâm mới thì làm mờ tốt, thâm cũ thì dùng hết 1 chai chưa thấy mờ;Cấp ẩm ổn, những vết thâm mới thì làm mờ tốt,
76;mình đánh giá cao sản phẩm này, da mình siêu cấp nhạy cảm, mình ko dùng dc kcn của 1004 sau khi thoa gần như kích ứng ngay lập tức phải rửa mặt luôn nhưng sp này lại không hề mình đã thoa hết lọ trên nền da có mụn, lớp cuối ngày nhìn da mình đẹp hơn, để trong ngày rất ráo mặt ko vân kem ko dễ trôi nhưng nếu đi ra ngoài mồ hôi thì trôi sạch mình làm ở nhà nên ko ra ngoài ko đổ mồ hôi. đúng là sp có mùi cồn làm cay mắt nhé nhưng mình vẫn ưng sp này vô cùng, làn da có mụn thì nên tẩy trang kỹ.100d;Mình đánh giá cao sản phẩm này, da mình siêu cấp nhạy cảm, mình ko
77;mình dùng chai nắp hồng nhe, dịu nhẹ lành tính oki lắm mng;Mình dùng chai nắp hồng nhẹ, dịu nhẹ, lành tính, vui
78;mình bị viêm da tiết bã và mụn rosacea xài các sản phẩm skin1004 hầu như ko hợp, da của mình là hỗn hợp thiên khô đôi khi là khô. dùng 1 mình chai này sau khi ms rửa mặt khi da còn 1 chút ẩm, thì mình vẫn bị kích ứng đỏ vào ngày hôm sau, có khi nổi vết ngứa li ti. còn khi dùng chai này kết hợp vs kem dưỡng mỏng nhẹ như cerave/bioderma cicabio thì da khá ẩm nhưng vì kết hợp 2 sản phẩm nên chất bị dày, vì vậy cách này chỉ hợp cho bạn nào nằm máy lạnh. tóm lại mình thấy chai này hợp vs các bạn da dầu, hỗn hợp thiên dầu. còn xài 1 mình chai này mà ko có kết hợp vs sản phẩm khác thì chưa đủ, các bạn chỉ muon sd 1 sp r đi ngủ nên mua kem dưỡng ẩm khác;Mình bị viêm da tiết bã và mụn rosacea, xài các sản
79;mua kcn tặng 1 srm mini thời hạn đến khi nào vậy ạ;Mua kem tặng 1 sim mini, thời hạn đến khi nào vậy ạ?
80;10₫;10₫.
81;tẩy sạch giá lại phải chăng.;tẩy sạch giá lại phải chăng.
82;mình da hỗn hợp thiên dầu dùng ẻm xong kh hề bị khô căng da như những sp khác, dạng gel trong suốt mà bọt lên cũng kha khá đủ để massage mặt. da mình mụn ẩn mà trộm vía dùng loại này kh bị đẩy mụn. nói chung tuy giá hơi cao nhưng đáng mua nhé;Mình da hỗn hợp thiên dầu, dùng kem xong không hề bị khô căng da
83;đây là da mình sau hơn 1 tháng sd nha rất ok luôn thâm mờ hẳn, đỡ mụn viêm luôn các bạn nên kiên trì nha cứ sd mới 1 2 tuần mà muốn hết hẳn thì k đc đâu;Đây là da mình sau hơn 1 tháng sử dụng rất ok luôn, thâm mờ hẳn
84;sử dụng nhẹ nhàng , rất thoải mái , thư giãn tột độ;Sử dụng nhẹ nhàng , rất thoải mái , thư giãn tột độ.
85;rửa xong cảm giác rất sạch và nhẹ tênh. trong quá trình rửa thì bọt rất mịn và thơm làm mình cực thích luôn <3;Rửa xong cảm giác rất sạch và nhẹ tênh. Trong quá trình rửa
86;mùi hương dễ chịu, làm mát nhanh, giá thành ổn;Mùi hương dễ chịu, làm mát nhanh, giá thành ổn.
87;mát, dịu da, thích lắm, giá thích hợp cho sinh viên và nội trợ;Mềm, dịu da, thích lắm, giá thích hợp cho sinh viên và
88;xài 3 chai tinh chất màu tím giờ chuyển qua chai này, chất sửa màu hồng nhạt mùi thom dê chịu và mỏng nhẹ, k bị đổ dầu.;xài 3 chai tinh chất màu tím giờ chuyển qua chai này,
90;quá ok;quá ok!
92;đắp 1 lần mê luôn phải mua lại á;Đắp 1 lần mê luôn, phải mua lại á?
93;mình da dầu mụn, mới mua xài thấy mát nhẹ mặt, cơ mà tối thoa sáng ngày mặt như chảo dầu. mụn bị lên nhiều. sau mới biết trong sp này có cồn nên ko hợp. :(;Mình da dầu mụn, mới mua xài thấy mát nhẹ mặt, cơ mà
94;dùng ổn k bị sơ;Dùng ổn, không bị sơ.
95;tốt;tốt.
96;mùi dễ chịu và giảm mụn;Mùi dễ chịu và giảm mụn.
97;lọ nhỏ xíu mà giá đắt quá , mình dùng hết lọ rồi mà ko có hiệu quả . thất vọng quá;Lọ nhỏ xíu mà giá đắt quá , mình dùng hết lọ rồi
98;mình sd 1 lọ thử và trắng mịn lên từng ngày nha . kiếm mãi mới có loại hợp do da mặt nhạy cảm , mua lọ thứ 2 rồi;Mình đã 1 lọ thử và trắng mịn lên từng ngày nha . kiếm mãi
99;mui huong de chịu, lam mat nhanh , gia thành ổn;Mui huong de chịu, lam mat nhanh , gia thành ổn.
100;mình dùng hơn tháng r. da mình đang treatment tretinoin nên rất khô và nhạy cảm, sd xịt khoáng này thấy ẩm hơn và dịu da hơn, sp ko chỉ có nc ko thôi mà còn các chất dịu da khác nữa nên mình rất ưng. ngoài ra vòi xịt phun sương luôn nên thấm da rất nhanh ạ;Mình dùng hơn tháng rồi, da mình đang treatment tretinoin nên rất khô và
101;tuyệt vời;Tuyệt vời.
102;sản phẩm dùng rất hiệu quả,cực kì phù hợp cho các bạn,giá thành oke nên mua nha;Sản phẩm dùng rất hiệu quả, cực kì phù hợp cho các bạn, giá thành
103;sản phẩm lỏng như nước á. đổ rahari cẩn thận. chưa thấy hiệu quả trắng sáng;sản phẩm lỏng như nước đá. đổ ra phải cẩn thận. chưa thây hiệu
104;sản phẩm này dùng tốt;Sản phẩm này dùng tốt.
105;với da mình thì nó chống nắng ổn, kháng bụi, không nặng mặt, thấm nhanh, không lên tông da,… trừ 1 sao là hương liệu hơi gắt không hợp với mình, nhưng vẫn sẽ mua thêm để sử dụng;Với da mình thì nó chống nắng ổn, kháng bụi, không nặng mặt, thấm
106;xài e này bth rất ok, finish đẹp nhma một hôm quên dưỡng ẩm là bị khô da bong tróc đồ luôn (nhẹ);Xài e này bấm rất ok, finish đẹp, nhưng một hôm
107;mặt nạ xài rất tốt;Mặt nạ xài rất tốt.
108;giao hàng rất nhanh, sẽ quay lại review chất lượng sau :3;giao hàng rất nhanh, sẽ quay lại review chất lượng sau :3.
109;đỉnh thật sự;Đỉnh thật sự.
110;sữa chống nắng xài rất tốt, mỏng nhẹ thấm nhanh nhưng có mùi cồn;Sữa chống nắng xài rất tốt, mỏng nhẹ, thấm nhanh nhưng
111;mình da dầu. srm rửa sạch sâu quá khô 2 bênh cánh mũi tróc da. nguyên mặt căng;Mình da dầu. Sẩm rửa sạch sâu quá khô 2 bên cánh mũi tr
112;đắp vào các đốt mụn sưng giảm hẵn , sạch các sợi bã nhờn;Đắp vào các đốt mụn sưng giảm hẵn , sạch các
113;trong các loại tẩy trang mình từng dùng thì loại này để lại hậu cảm tốt nhất. ý là sau khi dùng, nó để lại cảm giác rất tự nhiên, ko nhờn rít. mùi hơi khó chịu, dù mình khá dễ tính với mùi, dùng lâu thì thấy okay, không khó chịu nữa. mát, mịn, rẻ, hậu cảm tốt.;trong các loại tẩy trang mình từng dùng thì loại này để lại hậu cảm tốt nhất
115;cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, ko mùi nên rất thích;Cấp ẩm tốt, dịu nhẹ cho da nhạy cảm, khó mùi
116;mặt nạ đắp hiệu quả thiệt, mình được bà chị cho 1 miếng về đắp thử. mới đắp 1 lần mà da đã trắng sáng trông thấy rõ luôn.;Mặt nạ đắp hiệu quả thiệt, mình được bà chị cho 1 miếng về đắp thử
117;da mình là da hỗn hợp dầu chữ t, khô 2 bên má, nhìn chung sản phẩm này dịu nhẹ và cấp ẩm tốt cho da mình nhé. bình to dùng lâu hết, tuy nhiên cái vòi mỗi lần bơm dễ giăng ra nhiều hơn mức cần thiết;Da mình là da hỗn hợp dầu chữ T, khô 2 bên má, nhìn
118;tiện lợi do có chai nhỏ dùng thử 15ml. rất ok, da minh bị bong ngứa, mẫn đỏ do xài retinol ko đủ ẩm, sau khi xài kem này 2 ngày thấy đỡ rất nhiều. ai bị nên dùng thử nhé. bé nv tư vấn rất tốt nhiệt tình. cảm ơn e;tiện lợi do có chai nhỏ dùng thử 15ml. rất ok, da mình
119;bha này xài rất êm, ko có cảm giác châm chích hay khô rát. da bạn nào khô sẽ rất thích sản phẩm này vì sau khi bôi xong da sẽ hơi có cảm giác dầu trên da. sáng dậy rửa mặt da rất mướt và mọng ko bị khô. dùng kiên trì sẽ giảm đc mụn và làm sạch lỗ chân lông.;bha này xài rất êm, ko có cảm giác châm chích
120;da dâu sai khá thích ko bị khô da sẽ dùng tiếp;Da dâu sai khá thích, ko bị khô da sẽ dùng tiếp.
121;giao hàng nhanh, nhưng sản phẩm không khác nhiều so với loại khác.;giao hàng nhanh, nhưng sản phẩm không khác nhiều so với loại khác.
124;tốt nha, mỏng mịn nhanh thấm và chống nắng cao;Tốt nha, mỏng mịn, nhanh thấm và chống nắng cao.
126;hôm qua 20/2 mình có mua sp này bên shop. mình yên tâm chỉ kiếm tra số lượng theo đơn hàng rồi mới nhận hàng. nhưng khi về khui ra mới thấy hộp không có tem mác gì cả . như có dấu hiệu ai đã khui trước đó. mình có nhắn tin hỏi shop nhưng mà k nhận dc phản hồi. mình đã mua rồi thì dùng thôi nhưng thấy lo lo vì k biết bên trong sp có vấn đề gì ko. hơi thất vọng...;Hôm qua 20/2 mình có mua sp này bên shop. mình yên tâm chỉ kiếm
127;dfhscvhhf;dfh.scv.hf.
128;bác sĩ khoa thẩm mĩ da bv đã liễu tp hcm cho bôi kem này khi lazer , dịu nhẹ tức thì, rất hiệu quả.;Bác sĩ khoa thẩm mĩ da bv đã liễu tp hcm cho bô
129;ko đọc kỹ phần chữ nhỏ là chai tảy trang nhỏ kia chỉ đc tặng ở tp hcm . nói chung mua hàng ở hasaki cũng lâu giá cả hợp lý , hàng chính hãng cũng yên tâm;Khi đọc kỹ phần chữ nhỏ là chai tảy trang nhỏ kia chỉ để tặng
130;mùi hương dễ chịu, làm mát nhanh, giá thành ổn.;mùi hương dễ chịu, làm mát nhanh, giá thành ổn.
131;mình rất thích hasaki và sản phẩm tẩy trang này.;mình rất thíchki và sản phẩm tẩy trang này.
132;em nghĩ shop nên lấy loại lớn này;Em nghĩ shop nên lấy loại lớn này.
133;không có tặng kèm bông tẩy trang;không có tặng kèm bông tẩy trang.
134;dùg đc mà miếng mask hơi dão, ko ôm khuôn mặt. kim cương và ngọc trai dùg thích nhất;Dùng được mà miếng mask hơi dão, ko ôm khuôn mặt. Kim cương và
135;rât hợp vs da dầu mụn ạ,;Rất hợp với da dầu mụn ạ,.
136;mùi hương dễ chịu, làm mát nhanh , giá thành ổn;Mùi hương dễ chịu, làm mát nhanh , giá thành ổn.
137;mùi hương dễ chịu, lành tính . giá thành lại rẻ nữa ạ;Mùi hương dễ chịu, lành tính . giá thành lại rẻ nữa ạ!
138;sap phẩm tốt vừa túi tiền dung lại rất hiệu quả ạ;Sản phẩm tốt, vừa túi tiền, dùng lại rất hiệu quả ạ!
139;hồi dùng chai đầu tiên thấy bình thường, từ khi kết hợp thêm viên uống vs nước thần của hãng này vào. đi đâu ai cũng khen da trắng lên hẳn. trong khi ngày xưa nhìn như mỹ da đen dị đó. chân ái của đời tui;Hồi dùng chai đầu tiên thấy bình thường, từ khi kết hợp thêm viên
140;sản phẩm này qá ok . nên mua ạ sử dụng thích lắm;Sản phẩm này quá ok . nên mua ạ, sử dụng thích lắm !
141;đúng là chân ái. tạo bọt sạch mà còn giữ ẩm rất tốt . nhưng trước khi rửa nên tẩy trang kĩ thì mới cảm nhận được tác dụng của srm, 1 dòng dược mỹ phẩm nên dùng đáng đồng tiền;Đúng là chân ái. tạo bọt sạch mà còn giữ
142;hàng tốt, nâng tone, nhưng giá hơi cao;Hàng tốt, nâng tone, nhưng giá hơi cao.
143;không biết dùng tới chai thứ mấy rồi. loại srm này rất dịu nhẹ không gây kích ứng da, rất phù hợp với da nhạy cảm và dầu mụn như mình, 1 ngày mình rửa 3-4 lần luôn mà không bị khô hay kích ứng gì. vừa rồi đổi loại srm hãng khác thì da lại nổi mụn viêm đỏ khá nhiều. giờ phải quay lại với cetaphil;không biết dùng tới chai thứ mấy rồi. Loại kem này rất dịu nhẹ,
144;sử dụng dễ dàng , rất thoải mái , thư giãn tột độ;Sử dụng dễ dàng , rất thoải mái , thư giãn tột độ.
145;đây là loại serum dạng dầu, dùng sau mà k rửa mặt sẽ hơi dính.;Đây là loại serum dạng dầu, dùng sau mà k rửa mặt sẽ hơi dí
146;bông quá tệ bụi quá gĩu ra bông bay ra;Bông quá tệ, bụi quá giĩu ra bông bay ra.
148;sản phẩm kém bền, chỉ dùng được một lần rồi hỏng.;sản phẩm kém bền, chỉ dùng được một lần rồi hỏng.
149;xài ok nhe xài cả ngày ko bị dầu , mặt mũi cũng ko bị bóng mấy . cách bôi thì mỗi lần lấy 1 chút rồi tán đều lên mặt , như vậy kem sẽ đều và không bị vón cục nha.;xài ok nhe xài cả ngày ko bị dầu , mặt
150;trên app để tặng bông tẩy trang, mà đặt thì lại ko thấy tặng;trên app để tặng bông tẩy trang, mà đặt thì lại ko thấy tặng.
151;mask xài thích, mát ban đầu hơi châm chích một lúc thì hết, da dịu mấy nốt mụn nhỏ cũng xẹp hơn. nói chung là ưnggg lắmmmmmmmm, cái này bỏ tủ lạnh xài thích hơn nữa;Mask xài thích, mát ban đầu hơi châm chích một lúc thì
152;khá hài lòng;khá hài lòng.
